	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	KO	WT	ko15	ko16	ko18	ko19	ko21	ko22	wt15	wt16	wt18	wt19	wt21	wt22
1	M300T3391	5.69359438269773	14.4436804018638	5.02633559218424e-08	300.189811573728	300.170628950636	300.200012207031	3390.6985	3374.142	3398.743	12	6	6	4534353.62273683	4980914.48421051	5290739.13866664	4564262.89684209	4733236.07999997	3931592.586	349660.88536842	491793.181333331	645526.704947367	634108.848947367	1438254.44559999	1364627.844
2	M301T3391	6.28303006136841	15.5250065972279	5.3850220282925e-08	301.187865077156	301.165859563299	301.194921180594	3391.126	3385.366	3394.937	7	6	1	962353.429578945	1047934.14136842	1109303.04472222	946943.392842103	984787.204999993	806171.472899999	80639.2842881944	118940.899088542	134531.38671875	102784.647854275	203982.760512408	291392.971409092
3	M298T3185	3.98498371276739	11.8877328189245	3.61584108432567e-07	298.150847871422	298.105429221837	298.159193882237	3185.221	3182.083	3190.163	4	4	0	180780.817277777	204134.864631578	191015.910842105	190626.84952381	155276.902163857	220288.6218	16448.4191894531	41050.0418122944	50082.5494449013	76704.8068359375	53957.7833573191	48363.333932977
4	M491T3399	21.4547823273572	16.4470226253116	2.97422609829567e-06	491.200012207031	491.187712694072	491.206349549118	3398.9395	3371.543	3427.535	6	6	0	432037.001363632	332159.07255	386966.75145	334951.452952381	294816.23565	373577.607619048	7428.20484619141	9202.83286132812	33500.40703125	40074.2493318257	7483.45240542763	2731.73352693257
5	M348T3287	9.83645784052973	17.287472229479	3.69195902338859e-06	348.162042921863	348.123397924346	348.17414855957	3287.0155	3282.555	3296.53	6	6	0	165830.902999999	183665.009888891	150844.995000002	134637.11694737	136452.455894736	167008.053263157	22601.9514878217	17421.5567355686	16138.8273654514	8383.03004150391	11539.4132486979	19319.333984375
6	M423T3256	6.2955612063933	10.7686812794092	4.17885555883402e-05	423.149886763171	423.106429261373	423.157354143773	3256.161	3254.032	3259.39	6	6	0	236249.54685	255168.615619048	212710.776210526	180690.966857143	191746.741263157	152861.1861	28460.8862561678	16922.3355006168	34168.3646065848	26264.8861083984	49600.3713867188	39868.0231445313
7	M411T3940	6.26798315534906	8.8460339463582	6.35598289195904e-05	411.233919541902	411.224298596572	411.286168276307	3940.146	3925.545	3948.191	6	6	0	304741.631666665	426745.765000001	437071.768944449	304811.058736841	285571.595789477	275335.275052631	15555.3791503906	20997.0591107537	89844.978515625	77637.6640625	54218.0600011489	66297.3636474609
8	M327T3421	29.3705442242072	11.0620054023077	8.85276494262399e-05	327.198887208875	327.168262014291	327.200012207031	3420.574	3418.091	3428.896	6	6	0	1108851.28263158	950126.528549999	674222.71365	677091.267	772290.305399999	1013977.91336843	59918.1294433594	30491.3351408306	22437.3347710503	5419.75264246324	49788.1628160979	8876.29371402138
9	M326T3419	15.5444373085938	10.4238641297464	0.000133442468437384	326.200012207031	326.170473605284	326.200012207031	3418.8865	3396.121	3428.896	12	6	6	4809521.44842104	3931304.6352	2913711.5472	2819100.93	3284987.2808421	4346409.703579	259229.27265	314154.3228	161900.583619048	200939.740000001	247976.865157894	237853.6206
10	M322T3391	7.53871759399166	9.06248849362176	0.000169702606403366	322.121163286913	322.100006103516	322.162267653525	3391.143	3390.271	3394.937	5	5	0	238208.46368421	272654.010777781	378948.167333332	273593.9487	247266.869999998	196256.131591797	22930.2129760742	32122.507421875	61130.9509277344	28101.7456787109	35036.7928659539	33834.4141909951
11	M410T3941	6.67153926736712	9.09397960770922	0.000170300153719438	410.265769844757	410.212496033003	410.298609827991	3940.722	3917.895	3972.776	9	6	3	980012.029555551	1319875.61499999	1375014.96194446	949318.774166662	899985.582105275	799401.791222231	137450.635499999	203674.389555555	223544.906842105	170066.696949678	95536.9471435547	117574.963989258
12	M354T3612	12.0721914347527	7.59898201553399	0.000356924379701251	354.200012207031	354.200012207031	354.300018310547	3611.89	3589.395	3627.8	9	6	3	1135610.95	904522.364526313	832780.319999991	532867.708842112	570306.90375	729939.965999998	112167.158823531	154475.666111113	51277.2249999999	52098.932604338	11468.9308837891	8335.9423828125
13	M449T3291	5.62186349406298	7.50069870502622	0.000363576192054627	449.132095540736	449.100006103516	449.16737587705	3291.0595	3288.451	3293.379	4	4	0	144480.635894739	161190.842722224	95314.6844210524	142583.290649414	83447.3649999999	163903.722666667	17367.1317784926	14553.1368910846	14944.1309814453	25868.7048339844	35697.0549316406	32256.3837890625
14	M330T3619	18.8301350569653	7.01488108024287	0.000827932674543064	330.190995048881	330.141883324229	330.214942605218	3618.725	3600.799	3635.925	6	6	0	201588.695263157	167042.482105263	143015.845157894	105447.718631579	92547.857473684	95737.3811999999	3154.95489032452	1100.82177734375	4871.03741096048	12609.7134399414	10502.7983630952	10531.4762073864
15	M329T3622	14.7125096879873	6.10648331359432	0.00157508770552539	329.200012207031	329.197015433753	329.200012207031	3621.651	3600.799	3637.595	7	6	1	1521141.36168421	1315446.8916	990625.76873684	707798.715899999	759301.2204	605854.743	114347.574315789	91557.5106811523	90124.3022460938	54205.2787155878	42964.0772372159	7832.00046705163
16	M328T3619	10.2967672308177	6.1216076360443	0.00164693441494501	328.200012207031	328.193340955923	328.200012207031	3618.725	3600.799	3635.925	12	6	6	6463382.8665263	5630552.3844	4398403.51494736	3085430.3808	3289887.96840005	2626186.4136	402409.00136842	573880.805000002	403748.596315788	412858.154947367	385802.428650005	297208.544421052
17	M382T3788	7.61566605386427	5.35819580769831	0.00213963750320945	382.202515776156	382.200012207031	382.300018310547	3787.7025	3742.564	3808.06	8	6	2	710639.895000002	580437.413999998	433480.221444442	286404.147789477	317220.05985	323722.842833332	102300.919999999	94799.8749999999	91501.247366769	23967.7560424805	22195.1153320312	13452.1118164062
18	M357T3831	4.16115524465542	4.89372067270848	0.0027371390517934	357.206233035976	357.197998076736	357.219201742355	3830.958	3802.913	3838.299	7	6	1	328565.94735	567776.989789472	391437.15536842	254805.159	305032.22925	218120.799263161	51391.9258449389	148383.910000001	78767.5706343217	85015.8261311849	35079.5672607422	97795.0408691406
19	M349T3420	3.62919619680772	4.35155471407198	0.00288462312796112	349.112282112819	349.108562079022	349.11477297404	3419.541	3417.345	3430.431	3	3	0	146310.3054	76981.1821666663	52975.2001274957	69862.7444118924	110555.89275	114025.195157896	52633.255936472	15849.2085731908	7404.25988051471	11938.3559417725	40012.7506510417	29417.51953125
20	M376T3460	9.0933825604497	5.23853390963017	0.00291394033898107	376.185740728504	376.155976033391	376.198324212359	3459.74	3452.815	3464.25	5	5	0	185802.723999999	178779.587368421	140389.601166666	95461.789473684	60333.7698296441	88793.5487368419	20430.6397162543	24657.7887641059	16599.8870391846	6121.1602608817	9672.18876139323	4947.62022569444
21	M355T3609	3.06954792386919	4.04537688548882	0.00306605847571761	355.18532801429	355.100006103516	355.200012207031	3608.863	3566.016	3662.953	8	6	2	334039.86	257216.861647061	222655.68	126090.440470587	154979.578222224	218179.85961111	46450.6259765625	139505.407555555	44183.1363932292	131022.088526315	30192.6254150391	36449.2690795898
22	M324T3275	7.76267241580909	5.14423598504842	0.00328060901907357	324.158399885216	324.123843265333	324.163232182158	3275.343	3271.74	3283.6	6	6	0	221263.213578947	388214.928736847	186860.975578947	162564.375000001	148367.965157894	182694.969999998	30138.044921875	48752.4502088759	27555.3068462171	14009.294921875	25899.0799967448	19821.3821072049
23	M356T3830	4.82384058629406	4.84631108810025	0.00347902501314801	356.200012207031	356.200012207031	356.214828366124	3830.3855	3802.913	3843.249	12	6	6	1189376.08455	2242782.41178947	1535138.25094736	932580.305894734	1206594.76536844	823710.047368432	181130.138315792	521478.345000002	258986.269894736	237846.960842105	197582.429999999	246931.89555
24	M439T4056	13.5403861978604	4.18575788118026	0.00857539213474379	439.288448866436	439.249527478056	439.300018310547	4056.2775	4051.637	4063.052	6	6	0	543352.35	290968.55561111	320746.750000001	172128.239444444	159371.110105263	162830.904499999	14367.1407470703	25746.2865339007	17714.3268612132	20784.9940592448	18524.748046875	24675.7139185855
25	M533T3892	8.89868597582219	4.10275584657122	0.00873998686706701	533.255312244509	533.200012207031	533.299987792969	3891.948	3877.676	3907.151	3	3	0	21920.1081112132	91059.232235295	222776.184999997	168581.979217529	152282.325	208432.560600003	4059.07113647461	29269.175832648	17205.8386948529	8116.27703450521	14346.0580596924	24214.8295898438
